,Country,Year,HOUSE_OVERCROWD,HOUSE_COST_BURDEN,HOUSE_SANITARY_X
218,IRL,2012,1.61809753626585,18.3696553111076,5.609606206
219,IRL,2013,1.66235268115997,13.6338293552399,3.624374047
220,IRL,2014,2.46830973774195,15.9467175602913,0.0
221,IRL,2015,1.46831376478076,11.6227343678474,0.342496159
222,IRL,2016,1.55502827838063,11.3232634961605,0.583041599
223,IRL,2017,1.43869016319513,13.3613482117653,0.057254673
224,IRL,2018,1.82755161076784,9.8990224301815,0.167683116
225,IRL,2019,2.00794860720634,12.5324875116348,0.1162795
226,IRL,2020,2.38893330097198,13.8853758573532,0.181963842
227,IRL,2021,2.08600889891386,8.67384150624275,
228,IRL,2022,2.75368355214596,9.29545313119888,
229,ISL,2010,7.19086602330208,21.5841501951218,0.0
230,ISL,2011,7.61352777481079,25.0037282705307,0.0
231,ISL,2012,7.07593634724617,26.7686098814011,0.0
232,ISL,2013,8.12358632683754,29.2912572622299,0.0
233,ISL,2014,6.01763725280762,28.2612860202789,0.0
234,ISL,2015,6.3838504254818,32.8862756490707,0.0
235,ISL,2016,5.64106181263924,25.3664940595627,0.0
236,ISL,2018,9.19455140829086,22.7227494120598,0.0
237,ITA,2010,15.2255520224571,17.5418213009834,0.402244134
238,ITA,2011,16.7214170098305,19.8017805814743,0.761884404
239,ITA,2012,17.4680918455124,21.188947558403,0.544208661
240,ITA,2013,18.5446530580521,22.6837605237961,1.27690956
241,ITA,2014,18.5783505439758,19.5484772324562,0.621261168
242,ITA,2015,18.9530804753304,19.502130150795,0.681226328
243,ITA,2016,18.7346443533897,18.6276689171791,0.343488762
244,ITA,2017,18.6089143157005,19.5040956139565,1.049371436
245,ITA,2018,18.9316064119339,18.0121690034866,0.788769126
246,ITA,2019,19.4402769207954,20.6358641386032,1.308520325
247,ITA,2020,17.9401427507401,17.1705961227417,
248,ITA,2021,19.0029621124268,13.1553784012794,
249,ITA,2022,16.9168502092361,14.2579302191734,
250,JPN,2010,1.73792149871588,20.8000004291534,
251,JPN,2012,1.48746278136969,17.4876853823662,
252,JPN,2014,1.596009918,19.6969702839851,
253,JPN,2016,1.8954623490572,17.1641796827316,
254,JPN,2018,1.64383556693792,19.178082048893,
255,JPN,2019,1.50489090010524,16.3934424519539,
256,JPN,2020,1.64880454540253,18.954248726368,
257,JPN,2021,1.56537760049105,19.0476194024086,
258,KOR,2010,11.6814434528351,,11.00007966
259,KOR,2012,,8.84987562894821,6.059554592
260,KOR,2014,5.75216189026833,,5.344366282
261,KOR,2016,,,3.450698033
262,KOR,2017,7.74641558527946,,3.016883694
263,KOR,2018,6.43194690346718,,2.122857235
264,KOR,2019,5.22164106369019,,1.043954398
