Country,Date,Total Asset
CA,2014-11,81.68
CA,2014-12,81.25
CA,2015-01,74.83
CA,2015-02,75.08
CA,2015-03,72.55
CA,2015-04,79.24
CA,2015-05,77.06
CA,2015-06,77.5
CA,2015-07,77.78
CA,2015-08,74.54
CA,2015-09,72.82
CA,2015-10,77.15
CA,2015-11,75.26
CA,2015-12,72.85
CA,2016-01,71.44
CA,2016-02,73.03
CA,2016-03,76.63
CA,2016-04,80.91
CA,2016-05,79.21
CA,2016-06,80.33
CA,2016-07,81.24
CA,2016-08,79.64
CA,2016-09,79.78
CA,2016-10,78.5
CA,2016-11,77.54
CA,2016-12,78.83
CA,2017-01,81.86
CA,2017-02,80.11
CA,2017-03,78.06
CA,2017-04,77.89
CA,2017-05,79.57
CA,2017-06,84.85
CA,2017-07,90.46
CA,2017-08,87.02
CA,2017-09,88.34
CA,2017-10,86.89
CA,2017-11,84.97
CA,2017-12,88.6
CA,2018-01,90.84
CA,2018-02,86.52
CA,2018-03,84.53
CA,2018-04,86.8
CA,2018-05,87.9
CA,2018-06,85.02
CA,2018-07,88.57
CA,2018-08,88.9
CA,2018-09,88.3
CA,2018-10,88.24
CA,2018-11,85.6
CA,2018-12,85.15
CA,2019-01,88.07
CA,2019-02,86.99
CA,2019-03,85.67
CA,2019-04,86.4
CA,2019-05,86.27
CA,2019-06,89.09
CA,2019-07,90.02
CA,2019-08,90.39
CA,2019-09,88.11
CA,2019-10,89.92
CA,2019-11,88.19
CA,2019-12,92.07
CA,2020-01,89.8
CA,2020-02,91.39
CA,2020-03,137.24
CA,2020-04,281.16
CA,2020-05,342.81
CA,2020-06,385.98
CA,2020-07,404.6
CA,2020-08,415.25
CA,2020-09,398.11
CA,2020-10,394.81
CA,2020-11,412.95
CA,2020-12,430.02
CA,2021-01,440.13
CA,2021-02,455.78
CA,2021-03,438.15
CA,2021-04,387.83
CA,2021-05,394.95
CA,2021-06,388.48
CA,2021-07,395.28
CA,2021-08,392.79
CA,2021-09,389.91
CA,2021-10,405.92
CA,2021-11,390.68
CA,2021-12,392.96
CA,2022-01,394.21
CA,2022-02,388.7
CA,2022-03,388.94
CA,2022-04,379.41
CA,2022-05,365.01
CA,2022-06,352.71
CA,2022-07,354.83
CA,2022-08,334.95
CA,2022-09,314.14
CA,2022-10,316.08
CA,2022-11,306.84
CA,2022-12,303.37
CA,2023-01,305.44
CA,2023-02,290.09
CA,2023-03,282.13
CA,2023-04,280.41
CA,2023-05,268.1
CA,2023-06,269.49
CA,2023-07,270.79
CA,2023-08,257.69
CA,2023-09,240.99
CA,2023-10,233.78
CA,2023-11,234.93
CA,2023-12,239.06
CA,2024-01,239.76
CA,2024-02,230.65
CA,2024-03,226.15
CA,2024-04,207.36
CA,2024-05,207.56
CA,2024-06,199.23
CA,2024-07,209.16
CA,2024-08,214.81
